id,unit,order,speaker,setswana,english
a1-u05-d1-l01,5,1,Rra Tiro,Dumelang! O batla eng?,Hello all! What do you want?
a1-u05-d1-l02,5,2,Naledi,Dumela rra. Ke batla lerotse. Ke bokae?,Hello sir. I want a sweet melon. How much is it?
a1-u05-d1-l03,5,3,Rra Tiro,Dipula di le tlhano.,Five pula.
a1-u05-d1-l04,5,4,Naledi,Ee ke a reka.,Yes I am buying it.
a1-u05-d1-l05,5,5,Rra Tiro,O batla eng gape?,What else do you want?
a1-u05-d1-l06,5,6,Naledi,Ke batla metsi le borotho.,I want water and bread.
a1-u05-d1-l07,5,7,Rra Tiro,Borotho ke dipula di le tharo.,Bread is three pula.
a1-u05-d1-l08,5,8,Naledi,Go siame ke a reka.,"Ok, I am buying it."
a1-u05-d1-l09,5,9,Naledi,Rra o na le dingwaga di le kae?,Sir how old are you?
a1-u05-d1-l10,5,10,Rra Tiro,Ke na le dingwaga di le masome a matlhano.,I am fifty years old.
a1-u05-d1-l11,5,11,Naledi,Ke a leboga rra. Tsamaya sentle!,"Thank you, sir. Go well!"
a1-u05-d1-l12,5,12,Rra Tiro,Sala sentle!,Stay well!
a1-u06-d1-l01,6,1,Bontle,Dumela Lesedi! A ke tsene?,"Hello, Lesedi! May I come in?"
a1-u06-d1-l02,6,2,Lesedi,Ee tsena. Go siame.,"Yes, come in. Ok."
a1-u06-d1-l03,6,3,Bontle,Ke eng?,What is it?
a1-u06-d1-l04,6,4,Lesedi,Ke setilo.,"It is a chair."
a1-u06-d1-l05,6,5,Bontle,Ke eng gape?,What is it else?
a1-u06-d1-l06,6,6,Lesedi,Ke sejana sa metsi.,"It is a cup of water."
a1-u06-d1-l07,6,7,Bontle,Ke eng? Ga ke itse.,What is it? I don't know.
a1-u06-d1-l08,6,8,Lesedi,Ke senotlolo sa lebati.,"It is the key of the door."
a1-u06-d1-l09,6,9,Bontle,Bula lebati tswee-tswee.,"Open the door, please."
a1-u06-d1-l10,6,10,Lesedi,Ee ke a e bula.,"Yes, I am opening it."
a1-u06-d1-l11,6,11,Bontle,Ke a leboga Lesedi. Tsamaya sentle!,"Thank you, Lesedi. Go well!"
a1-u06-d1-l12,6,12,Lesedi,Sala sentle!,Stay well!
a1-u07-d1-l01,7,1,Naledi,Dumela mma. Ke batla sepatela. A go gaufi?,"Hello, madam. I'm looking for the hospital. Is it near?"
a1-u07-d1-l02,7,2,Mma Lesego,Ee go gaufi fela. Tsamaya ka tsela e.,"Yes, it's very near. Follow this road."
a1-u07-d1-l03,7,3,Naledi,Ke ya kwa toropong?,Am I going towards town?
a1-u07-d1-l04,7,4,Mma Lesego,Ee. Sepatela e gaufi le kgotla.,"Yes. The hospital is near the kgotla."
a1-u07-d1-l05,7,5,Naledi,A go kgakala?,Is it far?
a1-u07-d1-l06,7,6,Mma Lesego,Nnyaa go gaufi fela. O ya ka bese kgotsa ka maoto?,"No, it's very near. Are you going by bus or on foot?"
a1-u07-d1-l07,7,7,Naledi,Ka maoto.,On foot.
a1-u07-d1-l08,7,8,Mma Lesego,O dula kae?,Where do you live?
a1-u07-d1-l09,7,9,Naledi,Ke dula kwa toropong.,I live in town.
a1-u07-d1-l10,7,10,Mma Lesego,Sepatela mo toropong. O tlaa se bona.,The hospital is in town. You will see it.
a1-u07-d1-l11,7,11,Naledi,Ke batla sekolo gape. A go kgakala?,"I'm also looking for a school. Is it far?"
a1-u07-d1-l12,7,12,Mma Lesego,Ee go kgakala. Ya ka bese.,"Yes, it's far. Go by bus."
a1-u07-d1-l13,7,13,Naledi,Ke a leboga mma!,"Thank you, madam!"
a1-u07-d1-l14,7,14,Mma Lesego,Go siame. Tsamaya sentle!,"Ok. Go well!"
a1-u08-d1-l01,8,1,Mma Kefilwe,Dumela Tumelo. O tsogile jang?,"Hello, Tumelo. How did you wake up?"
a1-u08-d1-l02,8,2,Tumelo,Ke tsogile sentle ke a leboga.,"I woke up well, thank you."
a1-u08-d1-l03,8,3,Mma Kefilwe,O tsoga ka ura efe ka mosogare?,What time do you wake up in the morning?
a1-u08-d1-l04,8,4,Tumelo,Ke tsoga ka ura ya robedi.,I wake up at eight o'clock.
a1-u08-d1-l05,8,5,Mma Kefilwe,O bereka ka Labotlhano?,Do you work on Friday?
a1-u08-d1-l06,8,6,Tumelo,Ee ke bereka ka mosogare le ka maitseboa.,"Yes, I work in the morning and in the evening."
a1-u08-d1-l07,8,7,Mma Kefilwe,A o ithuta gape?,Do you also study?
a1-u08-d1-l08,8,8,Tumelo,Ee ke ithuta Setswana ka Laboraro.,"Yes, I learn Setswana on Wednesday."
a1-u08-d1-l09,8,9,Mma Kefilwe,Ka Tshipi o tshameka?,On Sunday do you play?
a1-u08-d1-l10,8,10,Tumelo,Ee ke tshameka kwa kgotleng.,"Yes, I play at the kgotla."
a1-u08-d1-l11,8,11,Mma Kefilwe,O robala ka ura efe ka bosego?,What time do you sleep at night?
a1-u08-d1-l12,8,12,Tumelo,Ke robala ka ura ya lesome.,I sleep at ten o'clock.
a1-u08-d1-l13,8,13,Mma Kefilwe,Go siame. Tsamaya sentle!,"Ok. Go well!"
a1-u08-d1-l14,8,14,Tumelo,Sala sentle!,Stay well!
